id,name,firstname,password,immatriculation,phonenumber,address
1,Doe,John,password123,AB123CD,1234567890,123 Main St
2,Smith,Alice,securepass,XY987ZW,0987654321,456 Elm St
3,Garcia,Juan,qwerty,CD987AB,5555555555,789 Oak St
4,Lee,Ji-Hyun,123456,BC123DE,9999999999,321 Maple St
5,Kowalski,Jan,p@ssw0rd,DE456FG,7777777777,654 Pine St
6,Chen,Wei,password,FG123HI,6666666666,987 Cedar St
7,Singh,Raj,pass123,HI456JK,3333333333,1010 Birch St
8,Kim,Min-Ji,123pass,JK789LM,2222222222,1122 Fir St
9,Martinez,Maria,pass,LM987NO,4444444444,1313 Spruce St
10,Mueller,Hans,abc123,NO123PQ,8888888888,1414 Oak St
